Clearing Fee,User,Date,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge,r
0,DSmanik,08/02/2021,WEX-SWEEP,s,7,IPOF,IPOF,17/09/2021,$10.00,C,0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,0.20,e
0,DSmanik,08/03/2021,WEX-SWEEP,s,68,IPOF,IPOF,17/09/2021,$10.00,C,0.09,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.52,e
0,DSmanik,08/03/2021,WEX-SWEEP-SPRD,s,250,LUXA,LUXA,15/10/2021,$10.00,C,0.16,MILTON,Per Unit,0.05,0,0.0025,0.11,e
0,DSmanik,08/03/2021,WEX-SWEEP,b,500,CANO,CANO,17/09/2021,$7.50,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.35,e
0,DSmanik,08/03/2021,WEX-SWEEP,s,200,LUXA,LUXA,15/10/2021,$10.00,C,0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,0.49,e
0,DSmanik,08/04/2021,WEX-SWEEP-SPRD,s,290,LUXA,LUXA,15/10/2021,$10.00,C,0.13,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,3.13,e
0,DSmanik,08/05/2021,CBOE-OPT,s,52,KWEB,KWEB,20/01/2023,$50.00,P,9.65,CITI,Per Unit,0.05,0,0,0.60,e
0,DSmanik,08/05/2021,WEX-SWEEP,b,473,MYPS,MYPS,20/08/2021,$5.00,P,0.2,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.83,e
0,DSmanik,08/05/2021,WEX-SWEEP,s,261,AGCB,AGCB,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,0.08,e
0,DSmanik,08/06/2021,WEX-SWEEP-SPRD,s,110,AGCB,AGCB,15/10/2021,$10.00,C,0.07,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.25,e
0,DSmanik,08/06/2021,ISE-OPT,b,250,GDX,GDX,21/01/2022,$27.00,P,0.62,CITI,Per Unit,0.05,0,0,0.52,e
0,DSmanik,08/06/2021,ISE-OPT,s,15,FSLY,FSLY,20/01/2023,$60.00,C,8.01,BNP,Per Unit,0.05,0,0,0.10,e
0,DSmanik,08/09/2021,WEX-SWEEP,b,61,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.55,e
0,DSmanik,08/09/2021,WEX-SWEEP,s,61,IPOF,IPOF,19/11/2021,$10.00,C,0.19,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54,e
0,DSmanik,08/09/2021,WEX-SWEEP,s,45,LUXA,LUXA,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81,e
0,DSmanik,08/09/2021,WEX-SWEEP,s,202,MCMJ,MCMJ,15/10/2021,$10.00,C,0.2,VIVALDI-OMNI,Per Unit,0.05,0,0.85,0.78,e
0,DSmanik,08/09/2021,WEX-SWEEP,b,320,MYPS,MYPS,20/08/2021,$5.00,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.88,e
0,DSmanik,08/10/2021,WEX-SWEEP,s,677,LUXA,LUXA,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81,e
0,DSmanik,08/11/2021,WEX-SWEEP,s,259,BTWN,BTWN,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,0.98,e
0,DSmanik,08/11/2021,WEX-SWEEP,b,207,MYPS,MYPS,20/08/2021,$5.00,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.22,e
0,DSmanik,08/12/2021,WEX-SWEEP,s,46,BTWN,BTWN,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,0.64,e
0,DSmanik,08/12/2021,WEX-SWEEP,s,46,LUXA,LUXA,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.63,e
0,DSmanik,08/12/2021,WEX-SWEEP-SPRD,b,9,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54,e
0,DSmanik,08/12/2021,WEX-SWEEP-SPRD,s,9,IPOF,IPOF,19/11/2021,$10.00,C,0.21,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54,e
0,DSmanik,08/12/2021,WEX-SWEEP-SPRD,s,547,PIPP,PIPP,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.52,e
0,DSmanik,8/13/2021,WEX-SWEEP-SPRD,s,905,PIPP,PIPP,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.79,e
0,DSmanik,8/13/2021,WEX-SWEEP-SPRD,b,383,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.47,0.07,e
0,DSmanik,8/13/2021,WEX-SWEEP-SPRD,s,383,IPOF,IPOF,19/11/2021,$10.00,C,0.2,VIVALDI-OMNI,Per Unit,0.05,0,0.47,0.55,e
0,DSmanik,8/13/2021,WEX-SWEEP,s,187,LUXA,LUXA,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,0.24,e
0,DSmanik,8/13/2021,WEX-SWEEP,s,100,PPC,PPC,20/08/2021,$28.00,C,0.38,HAVENS-OMNI,Per Unit,0.05,0,-0.85,0.82,e
0,DSmanik,8/13/2021,WEX-SWEEP,s,200,MYPS,MYPS,20/08/2021,$5.00,P,0.4,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.23,e
0,DSmanik,8/13/2021,WEX-SWEEP,b,200,SKIN,SKIN,19/11/2021,$12.50,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.98,e
0,DSmanik,8/16/2021,WEX-BESTX-OPT,s,96,IPOF,IPOF,19/11/2021,$10.00,C,0.18,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.68,e
0,DSmanik,8/16/2021,WEX-SWEEP,s,200,MYPS,MYPS,20/08/2021,$5.00,P,0.3,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.87,e
0,DSmanik,8/17/2021,WEX-SWEEP-SPRD,s,300,EWT,EWT,20/08/2021,$60.00,P,0.54,NEWFOUNDLAND-OMNI,Per Unit,0.05,0,0,0.56,e
0,DSmanik,8/17/2021,WEX-SWEEP-SPRD,s,300,EWT,EWT,17/09/2021,$55.00,P,0.56,NEWFOUNDLAND-OMNI,Per Unit,0.05,0,0,0.46,e
0,DSmanik,8/17/2021,WEX-SWEEP-SPRD,b,300,EWT,EWT,17/09/2021,$60.00,P,1.65,NEWFOUNDLAND-OMNI,Per Unit,0.05,0,0,0.45,e
0,DSmanik,8/17/2021,ISE-OPT,s,662,AI,AI,17/06/2022,$35.00,P,5.6,BNP,Per Unit,0.05,0,0,0.05,e
0,DSmanik,8/18/2021,WEX-BESTX-OPT,s,200,MYPS,MYPS,20/08/2021,$5.00,P,0.83,DIFESA,Per Unit,0.05,0,-0.86,0.35,e
0,DSmanik,8/18/2021,WEX-SWEEP,b,122,MYPS,MYPS,19/11/2021,$5.00,C,0.4,DIFESA,Per Unit,0.05,0,-0.8,0.26,e
0,DSmanik,8/19/2021,WEX-BESTX-OPT,s,331,MYPS,MYPS,20/08/2021,$5.00,P,0.96,DIFESA,Per Unit,0.05,0,-0.85,0.26,e
0,DSmanik,8/19/2021,WEX-BESTX-OPT,s,500,LEV,LEV,20/08/2021,$12.50,P,0.67,DIFESA,Per Unit,0.05,0,-0.85,0.13,e
0,DSmanik,8/20/2021,WEX-SWEEP,s,2,SUNL,SUNL,20/08/2021,$7.50,P,2.3,DIFESA-OMNI,Per Unit,0.05,0,-0.86,0.81,e
0,DSmanik,8/20/2021,WEX-SWEEP,s,69,MYPS,MYPS,20/08/2021,$5.00,P,0.61,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.81,e
0,DSmanik,8/20/2021,WEX-SWEEP,s,199,IPOF,IPOF,17/12/2021,$10.00,C,0.2,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.71,e
0,DSmanik,8/20/2021,WEX-SWEEP,s,2000,IPOF,IPOF,17/12/2021,$12.50,C,0.11,KEPOS,Per Unit,0.05,0,0.0025,0.68,e
0,DSmanik,8/26/2021,WEX-BESTX-OPT,b,150,CYXT,CYXT,17/09/2021,$7.50,P,0.25,DIFESA-OMNI,Per Unit,0.05,0,0,0.15,e
0,DSmanik,8/26/2021,CBOE-OPT,b,600,HPQ,HPQ,17/09/2021,$27.00,P,0.48,CITI,Per Unit,0.05,0,0,0.42,e
0,DSmanik,8/26/2021,WEX-SWEEP,b,200,PTON,PTON,21/01/2022,$50.00,P,0.53,CITIFB,Per Unit,0.05,0,-0.43,0.43,e
0,DSmanik,8/30/2021,WEX-BESTX-OPT,b,75,CYXT,CYXT,17/09/2021,$7.50,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.43,e